source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_RFormosa_Wa_1,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_2,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_3,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_4,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_5,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_6,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_7,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_8,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_9,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_10,21.69,Fluorometer 10-AU,26.3,Thermo scientific  orion star A221,26.3,Thermo scientific  orion star A221,38.03,YSI ProSolo Digital,38.03,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,271.875,YSI ProSolo Digital,,,,,,,,,8.242,Thermo scientific  orion star A221,,,,,,,,,,,,,0.998766,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_11,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_12,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_13,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_14,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_15,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_16,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_17,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_18,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_19,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_20,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,218.75,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_21,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_22,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_23,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_24,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_25,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_26,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_27,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_28,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_29,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_30,3.98132,Fluorometer 10-AU,15,Thermo scientific  orion star A221,15,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.25,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
